,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,Brasil,,,76,,,,2022-07-01,26,210147125.0,32434063,76045,671700,284,30873682.0,888681.0,
1,Brasil,,,76,,,,2022-07-02,26,210147125.0,32471847,37784,671858,158,30880584.0,919405.0,
2,Brasil,,,76,,,,2022-07-03,27,210147125.0,32490422,18575,671911,53,30906575.0,911936.0,
3,Brasil,,,76,,,,2022-07-04,27,210147125.0,32535923,45501,672033,122,30967114.0,896776.0,
4,Brasil,,,76,,,,2022-07-05,27,210147125.0,32610514,74591,672429,396,31039055.0,899030.0,
5,Brasil,,,76,,,,2022-07-06,27,210147125.0,32687680,77166,672790,361,31077538.0,937352.0,
6,Brasil,,,76,,,,2022-07-07,27,210147125.0,32759730,72050,673073,283,31094805.0,991852.0,
7,Brasil,,,76,,,,2022-07-08,27,210147125.0,32830844,71114,673339,266,31119463.0,1038042.0,
8,Brasil,,,76,,,,2022-07-09,27,210147125.0,32874501,43657,673554,215,31142535.0,1058412.0,
9,Brasil,,,76,,,,2022-07-10,28,210147125.0,32896464,21963,673610,56,31181066.0,1041788.0,
10,Brasil,,,76,,,,2022-07-11,28,210147125.0,32940507,44043,673758,148,31257740.0,1009009.0,
11,Brasil,,,76,,,,2022-07-12,28,210147125.0,33004555,64048,674102,344,31346111.0,984342.0,
12,Brasil,,,76,,,,2022-07-13,28,210147125.0,33076779,72224,674482,380,31414937.0,987360.0,
13,Brasil,,,76,,,,2022-07-14,28,210147125.0,33142158,65379,674779,297,31451590.0,1015789.0,
14,Brasil,,,76,,,,2022-07-15,28,210147125.0,33250117,107959,675090,311,31513330.0,1061697.0,
15,Brasil,,,76,,,,2022-07-16,28,210147125.0,33290266,40149,675295,205,31530552.0,1084419.0,
16,Brasil,,,76,,,,2022-07-17,29,210147125.0,33301118,10852,675350,55,31556393.0,1069375.0,
17,Brasil,,,76,,,,2022-07-18,29,210147125.0,33339815,38697,675518,168,31640771.0,1023526.0,
18,Brasil,,,76,,,,2022-07-19,29,210147125.0,33397814,57999,675871,353,31738181.0,983762.0,
19,Brasil,,,76,,,,2022-07-20,29,210147125.0,33454294,56480,676217,346,31806291.0,971786.0,
20,Brasil,,,76,,,,2022-07-21,29,210147125.0,33505727,51433,676486,269,31846441.0,982800.0,
21,Brasil,,,76,,,,2022-07-22,29,210147125.0,33555526,49799,676766,280,31877531.0,1001229.0,
22,Brasil,,,76,,,,2022-07-23,29,210147125.0,33581533,26007,676927,161,31907233.0,997373.0,
23,Brasil,,,76,,,,2022-07-24,30,210147125.0,33591356,9823,676964,37,31954094.0,960298.0,
24,Brasil,,,76,,,,2022-07-25,30,210147125.0,33621965,30609,677143,179,32036761.0,908061.0,
25,Brasil,,,76,,,,2022-07-26,30,210147125.0,33659879,37914,677494,351,32121537.0,860848.0,
26,Brasil,,,76,,,,2022-07-27,30,210147125.0,33704393,44514,677804,310,32190361.0,836228.0,
27,Brasil,,,76,,,,2022-07-28,30,210147125.0,33748985,44592,678069,265,32238057.0,832859.0,
28,Brasil,,,76,,,,2022-07-29,30,210147125.0,33790698,41713,678313,244,32272604.0,839781.0,
29,Brasil,,,76,,,,2022-07-30,30,210147125.0,33813587,22889,678486,173,32302319.0,832782.0,
30,Brasil,,,76,,,,2022-07-31,31,210147125.0,33833900,20313,678514,28,32354263.0,801123.0,
31,Brasil,,,76,,,,2022-08-01,31,210147125.0,33855964,22064,678715,201,32421379.0,755870.0,
32,Brasil,,,76,,,,2022-08-02,31,210147125.0,33890428,34464,679010,295,32511634.0,699784.0,
33,Brasil,,,76,,,,2022-08-03,31,210147125.0,33924061,33633,679275,265,32586094.0,658692.0,
34,Brasil,,,76,,,,2022-08-04,31,210147125.0,33964494,40433,679536,261,32643157.0,641801.0,
35,Brasil,,,76,,,,2022-08-05,31,210147125.0,33994470,29976,679758,222,32668240.0,646472.0,
36,Brasil,,,76,,,,2022-08-06,31,210147125.0,34011173,16703,679939,181,32691603.0,639631.0,
