,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
97,Norte,RO,,11,,,,2022-07-01,26,1777225.0,418147,1039,7247,1,,,
98,Norte,RO,,11,,,,2022-07-02,26,1777225.0,418610,463,7249,2,,,
99,Norte,RO,,11,,,,2022-07-03,27,1777225.0,419461,851,7250,1,,,
100,Norte,RO,,11,,,,2022-07-04,27,1777225.0,420323,862,7251,1,,,
101,Norte,RO,,11,,,,2022-07-05,27,1777225.0,421029,706,7251,0,,,
102,Norte,RO,,11,,,,2022-07-06,27,1777225.0,422780,1751,7253,2,,,
103,Norte,RO,,11,,,,2022-07-07,27,1777225.0,424749,1969,7255,2,,,
104,Norte,RO,,11,,,,2022-07-08,27,1777225.0,426477,1728,7257,2,,,
105,Norte,RO,,11,,,,2022-07-09,27,1777225.0,427228,751,7258,1,,,
106,Norte,RO,,11,,,,2022-07-10,28,1777225.0,427458,230,7259,1,,,
107,Norte,RO,,11,,,,2022-07-11,28,1777225.0,428063,605,7262,3,,,
108,Norte,RO,,11,,,,2022-07-12,28,1777225.0,429208,1145,7264,2,,,
109,Norte,RO,,11,,,,2022-07-13,28,1777225.0,430449,1241,7266,2,,,
110,Norte,RO,,11,,,,2022-07-14,28,1777225.0,431806,1357,7268,2,,,
111,Norte,RO,,11,,,,2022-07-15,28,1777225.0,432931,1125,7273,5,,,
112,Norte,RO,,11,,,,2022-07-16,28,1777225.0,433476,545,7273,0,,,
113,Norte,RO,,11,,,,2022-07-17,29,1777225.0,433789,313,7273,0,,,
114,Norte,RO,,11,,,,2022-07-18,29,1777225.0,434713,924,7276,3,,,
115,Norte,RO,,11,,,,2022-07-19,29,1777225.0,436546,1833,7278,2,,,
116,Norte,RO,,11,,,,2022-07-20,29,1777225.0,437550,1004,7280,2,,,
117,Norte,RO,,11,,,,2022-07-21,29,1777225.0,437550,0,7280,0,,,
118,Norte,RO,,11,,,,2022-07-22,29,1777225.0,439696,2146,7284,4,,,
119,Norte,RO,,11,,,,2022-07-23,29,1777225.0,440224,528,7286,2,,,
120,Norte,RO,,11,,,,2022-07-24,30,1777225.0,440310,86,7287,1,,,
121,Norte,RO,,11,,,,2022-07-25,30,1777225.0,440996,686,7291,4,,,
122,Norte,RO,,11,,,,2022-07-26,30,1777225.0,441730,734,7292,1,,,
123,Norte,RO,,11,,,,2022-07-27,30,1777225.0,442378,648,7293,1,,,
124,Norte,RO,,11,,,,2022-07-28,30,1777225.0,443074,696,7295,2,,,
125,Norte,RO,,11,,,,2022-07-29,30,1777225.0,443613,539,7299,4,,,
126,Norte,RO,,11,,,,2022-07-30,30,1777225.0,443809,196,7301,2,,,
127,Norte,RO,,11,,,,2022-07-31,31,1777225.0,443865,56,7301,0,,,
128,Norte,RO,,11,,,,2022-08-01,31,1777225.0,444416,551,7302,1,,,
129,Norte,RO,,11,,,,2022-08-02,31,1777225.0,445512,1096,7313,11,,,
130,Norte,RO,,11,,,,2022-08-03,31,1777225.0,446440,928,7318,5,,,
131,Norte,RO,,11,,,,2022-08-04,31,1777225.0,447215,775,7320,2,,,
132,Norte,RO,,11,,,,2022-08-05,31,1777225.0,447922,707,7324,4,,,
133,Norte,RO,,11,,,,2022-08-06,31,1777225.0,448143,221,7324,0,,,
134,Norte,RO,,11,,,,2022-08-07,32,1777225.0,448234,91,7324,0,,,
135,Norte,RO,,11,,,,2022-08-08,32,1777225.0,448556,322,7326,2,,,
136,Norte,RO,,11,,,,2022-08-09,32,1777225.0,449330,774,7327,1,,,
